SerialNo,CustomerID,CustomerName,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,CustomerSupportRequests,LoginFrequency,LastActivityDate,SatisfactionScore,ChurnStatus
1,CUST0001,Ahmed Raja,40.0,Male,Rawalpindi,Basic,486.17,23,36,1,16.0,2026-04-26,4.5,0
2,CUST0002,Naveed Ansari,29.0,Male,Karachi,Basic,554.26,3,4,1,8.0,2026-05-14,2.1,1
3,CUST0003,Shahid Chaudhry,27.0,Male,Bahawalpur,Standard,1343.45,12,19,1,10.0,2026-04-28,3.2,0
4,CUST0004,Waqar Iqbal,22.0,Male,Faisalabad,Premium,2419.12,12,15,2,16.0,2026-03-17,4.4,1
5,CUST0005,Junaid Siddiqui,33.0,Male,Faisalabad,Basic,469.89,8,10,1,19.0,2026-04-23,4.4,0
6,CUST0006,Zara Ali,24.0,Female,Peshawar,Basic,469.08,35,55,0,7.0,2026-04-23,2.3,0
7,CUST0007,Ayesha Hashmi,45.0,Female,Hyderabad,Basic,529.66,11,11,4,12.0,2026-05-29,3.4,0
8,CUST0008,Shahid Qureshi,36.0,Male,Sukkur,Standard,1128.24,6,8,5,15.0,2026-04-13,4.5,0
9,CUST0009,Lubna Chaudhry,31.0,Female,Bahawalpur,Basic,567.31,2,4,2,12.0,2026-03-08,2.7,0
10,CUST0010,Sana Hussain,37.0,Female,Sukkur,Basic,,21,46,2,15.0,2026-05-12,3.1,0
11,CUST0011,Maria Mirza,32.0,Female,Multan,Basic,530.15,2,5,3,8.0,2026-04-08,3.6,1
12,CUST0012,Adnan Butt,23.0,Male,Hyderabad,Premium,2216.85,1,2,1,7.0,2026-04-27,4.0,1
13,CUST0013,Amna Javed,42.0,Female,Rawalpindi,Standard,1161.38,2,1,4,24.0,2026-05-24,5.0,0
14,CUST0014,Kamran Ahmed,38.0,Male,Sargodha,Basic,578.18,7,9,4,17.0,2026-06-01,2.8,0
15,CUST0015,Naveed Siddiqui,37.0,Male,Rawalpindi,Standard,907.95,21,34,2,20.0,2026-04-06,4.8,0
16,CUST0016,Hina Raja,44.0,Female,Islamabad,Basic,689.68,1,1,2,16.0,2026-04-15,4.3,0
17,CUST0017,Lubna Ansari,67.0,Female,Larkana,Standard,1222.5,12,14,1,7.0,2026-03-09,4.0,1
18,CUST0018,Rizwan Rana,33.0,Male,Lahore,Premium,2870.17,60,84,2,19.0,2026-04-27,3.6,0
19,CUST0019,Hamza Ansari,24.0,Male,Sialkot,Basic,515.37,17,26,3,21.0,2026-04-13,2.9,0
20,CUST0020,Saima Raja,41.0,Female,Hyderabad,Premium,4426.37,28,45,3,16.0,2026-05-31,2.6,1
21,CUST0021,Shahid Raja,62.0,Male,Sargodha,Standard,751.86,6,5,2,,2026-05-31,3.7,1
22,CUST0022,Maria Hashmi,,Female,Karachi,Enterprise,6843.41,18,27,2,9.0,2026-05-27,5.0,0
23,CUST0023,Saima Butt,29.0,Female,Hyderabad,Enterprise,4346.67,14,24,3,5.0,2026-05-24,5.0,0
24,CUST0024,Saima Nawaz,50.0,Female,Rawalpindi,Basic,429.23,1,0,0,13.0,2026-05-29,5.0,0
25,CUST0025,Adnan Siddiqui,18.0,Male,Quetta,Basic,397.56,3,4,2,17.0,2026-05-27,4.4,0
26,CUST0026,Sara Ahmed,37.0,Female,Rawalpindi,Premium,2199.89,1,3,4,16.0,2026-05-30,2.9,0
27,CUST0027,Asad Ali,45.0,Male,Sargodha,Standard,1088.51,1,2,5,18.0,2026-04-13,2.8,1
28,CUST0028,Asma Butt,34.0,Female,Faisalabad,Standard,1228.16,8,15,5,15.0,2026-04-10,4.4,0
29,CUST0029,Shahid Chaudhry,43.0,Male,Bahawalpur,Basic,468.97,8,6,5,23.0,2026-04-21,2.3,0
30,CUST0030,Farida Bhatti,42.0,Female,Quetta,Basic,562.83,1,1,3,19.0,2026-05-29,4.9,1
31,CUST0031,Fatima Iqbal,37.0,Female,Hyderabad,Basic,449.31,1,2,0,23.0,2026-03-05,3.0,1
32,CUST0032,Ali Hussain,26.0,Male,Lahore,Enterprise,4786.55,27,42,1,12.0,2026-05-14,3.5,0
33,CUST0033,Rizwan Hussain,38.0,Male,Faisalabad,Standard,1001.46,24,34,3,15.0,2026-01-04,4.5,1
